ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:1.18.1.6;ADRO
ec:1.20.4.2;GSTO1,GSTO2
ec:1.21.1.1;IYD1
ec:1.21.99.3;IOD3
ec:1.21.99.4;IOD1,IOD2
ec:2.1.1.1;NNMT
ec:2.1.1.2;GAMT
ec:2.1.1.4;ASMT
ec:2.1.1.5;BHMT1
ec:2.1.1.6;COMT,TOMT
ec:2.1.1.8;HNMT
ec:2.1.1.10;BHMT2
ec:2.1.1.13;METH
ec:2.1.1.17;PEMT
ec:2.1.1.20;GNMT
ec:2.1.1.22;CARME
ec:2.1.1.28;PNMT
ec:2.1.1.33;TRMB
ec:2.1.1.35;TRM2
ec:2.1.1.37;DNM3A,DNM3B,DNMT1
ec:2.1.1.43;ASH1L,DOT1L,EHMT1,EHMT2,EZH1,EZH2,KMT2A,KMT2B,KMT2C,KMT2D,KMT2E,KMT5A,KMT5B,KMT5C,NSD1,NSD2,NSD3,PRDM2,PRDM6,PRDM7,PRDM9,SET1A,SET1B,SETB1,SETB2,SETD2,SETD3,SETD7,SETMR,SMYD1,SMYD2,SMYD3,SUV91,SUV92
ec:2.1.1.45;TYSY
ec:2.1.1.49;INMT
ec:2.1.1.56;MCES
ec:2.1.1.57;CMTR1
ec:2.1.1.60;CMKMT
ec:2.1.1.62;MET14,MTA70
ec:2.1.1.63;MGMT
ec:2.1.1.64;COQ3
ec:2.1.1.67;TPMT
ec:2.1.1.71;PEMT
ec:2.1.1.77;PIMT
ec:2.1.1.96;INMT
ec:2.1.1.100;ICMT
ec:2.1.1.114;COQ3
ec:2.1.1.137;AS3MT
ec:2.1.1.183;DIM1
ec:2.1.1.201;COQ5
ec:2.1.1.203;NSUN2
ec:2.1.1.204;TRDMT
ec:2.1.1.205;TRM7
ec:2.1.1.211;TRM44
ec:2.1.1.216;TRM1
ec:2.1.1.220;TR61B,TRM61
ec:2.1.1.225;TRM13
ec:2.1.1.228;TRM5
ec:2.1.1.229;ALKB8
ec:2.1.1.233;LCMT1
ec:2.1.1.244;NTM1A
ec:2.1.1.282;TYW3
ec:2.1.1.290;TYW4
ec:2.1.1.296;CMTR2
ec:2.1.1.299;NTM1B
ec:2.1.1.314;DPH5
ec:2.1.1.319;ANM1,ANM2,ANM6,CARM1
ec:2.1.1.320;ANM5,NDUF7
ec:2.1.1.321;ANM7
ec:2.1.1.n8;HENMT
ec:2.1.2.1;GLYC,GLYM
ec:2.1.2.2;PUR2
ec:2.1.2.3;PUR9
ec:2.1.2.5;FTCD
ec:2.1.2.9;FMT
ec:2.1.2.10;GCST
ec:2.1.3.2;PYR1
