ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:3.6.1.53;ADPRM
ec:3.6.1.55;8ODP
ec:3.6.1.56;8ODP
ec:3.6.1.58;NUD18,NUDT5
ec:3.6.1.59;DCPS
ec:3.6.1.60;NUD10,NUD11
ec:3.6.1.62;DCP2,NUD16
ec:3.6.1.64;NUD16
ec:3.6.3.1;AT10A,AT10B,AT10D,AT11A,AT11B,AT11C,AT8A1,AT8A2,AT8B1,AT8B2,AT8B3,AT8B4,ATP9A,ATP9B
ec:3.6.3.8;AT2A1,AT2A2,AT2A3,AT2B1,AT2B2,AT2B3,AT2B4,AT2C1,AT2C2
ec:3.6.3.9;AT1A1,AT1A2,AT1A3,AT1A4
ec:3.6.3.10;AT12A,ATP4A
ec:3.6.3.14;ATPB,VATA
ec:3.6.3.44;MDR1,MDR3
ec:3.6.3.49;CFTR
ec:3.6.3.54;ATP7A,ATP7B
ec:3.6.4.3;KATL1,KATL2,KTNA1,SPAST
ec:3.6.4.6;NSF,TERA,VPS4A,VPS4B
ec:3.6.4.12;ARIP4,ASCC3,ATRX,BLM,CHD1L,CHD1,CHD2,CHD3,CHD4,CHD5,CHD6,CHD7,CHD8,CHD9,DDX11,DHX36,DNA2,DQX1,ERC6L,ERCC2,ERCC3,FBH1,G3BP1,HELB,HELQ,HFM1,INO80,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9,NAV2,PEO1,PIF1,RECQ1,RECQ4,RECQ5,RTEL1,RUVB1,RUVB2,SMBP2,SMRCD,T2FB,WRN
ec:3.6.4.13;D11L8,DD19A,DD19B,DDX10,DDX12,DDX17,DDX18,DDX1,DDX20,DDX21,DDX23,DDX24,DDX25,DDX27,DDX28,DDX31,DDX3X,DDX3Y,DDX41,DDX42,DDX43,DDX46,DDX47,DDX49,DDX4,DDX50,DDX51,DDX52,DDX53,DDX54,DDX55,DDX56,DDX58,DDX59,DDX5,DDX60,DDX6L,DDX6,DHX15,DHX16,DHX29,DHX30,DHX32,DHX33,DHX34,DHX35,DHX36,DHX37,DHX40,DHX57,DHX58,DHX8,DHX9,DX39A,DX39B,FANCJ,FANCM,G3BP1,IF4A1,IF4A2,IF4A3,IFIH1,M10L1,MOV10,PRP16,SK2L2,SMBP2,SUV3,TDR12,TDRD9,U520,YTDC2
ec:3.6.5.3;IF2P
ec:3.6.5.5;DNM1L,DYN1,DYN2,DYN3,OPA1
ec:3.7.1.2;FAAA
ec:3.7.1.3;KYNU
ec:3.7.1.5;FAHD1
ec:3.9.1.3;PHP14
ec:3.10.1.1;SPHM
ec:4.1.1.3;FAHD1
ec:4.1.1.6;IRG1
ec:4.1.1.9;DCMC
ec:4.1.1.11;GADL1
ec:4.1.1.15;DCE1,DCE2,GLNA
ec:4.1.1.17;DCOR
ec:4.1.1.21;PUR6
ec:4.1.1.22;DCHS
ec:4.1.1.23;UMPS
ec:4.1.1.28;DDC
ec:4.1.1.29;CSAD,GADL1
ec:4.1.1.32;PCKGC,PCKGM
ec:4.1.1.33;MVD1
ec:4.1.1.35;UXS1
ec:4.1.1.36;COAC
ec:4.1.1.37;DCUP
ec:4.1.1.41;ECHD1
ec:4.1.1.45;ACMSD
ec:4.1.1.50;DCAM
ec:4.1.1.65;PISD
ec:4.1.1.84;DOPD
ec:4.1.1.90;VKGC
ec:4.1.1.94;ECHD1
ec:4.1.1.97;URAD
ec:4.1.2.4;DEOC
ec:4.1.2.13;ALDOA,ALDOB,ALDOC
ec:4.1.2.27;SGPL1
ec:4.1.3.3;NPL
ec:4.1.3.4;HMGC2,HMGCL
ec:4.1.3.16;HOGA1
ec:4.1.3.44;TYW1B,TYW1
ec:4.1.99.22;MOCS1
ec:4.2.1.1;CAH12,CAH13,CAH14,CAH1,CAH2,CAH3,CAH4,CAH5A,CAH5B,CAH6,CAH7,CAH9
ec:4.2.1.2;FUMH
ec:4.2.1.3;ACOC,ACON
ec:4.2.1.11;ENO4,ENOA,ENOB,ENOG
ec:4.2.1.17;ECHA,ECHM,ECHP
ec:4.2.1.18;AUHM
ec:4.2.1.22;CBSL,CBS
ec:4.2.1.24;HEM2
ec:4.2.1.46;TGDS
ec:4.2.1.47;GMDS
ec:4.2.1.49;HUTU
ec:4.2.1.59;FAS
ec:4.2.1.68;ENOF1
ec:4.2.1.75;HEM4
ec:4.2.1.77;T3HPD
ec:4.2.1.93;NNRD
ec:4.2.1.96;PHS2,PHS
ec:4.2.1.107;DHB4
ec:4.2.1.109;MTNB
ec:4.2.1.119;DHB4
ec:4.2.1.134;HACD1,HACD2,HACD3,HACD4
ec:4.2.1.152;LOXE3
ec:4.2.3.2;AT2L1
ec:4.2.3.12;PTPS
ec:4.2.3.134;AT2L2
ec:4.2.99.18;ALKB1,APEX1,APEX2,APLF,NEIL1,NEIL2,NEIL3,NTH,OGG1,RS3
ec:4.3.1.3;HUTH
ec:4.3.1.4;FTCD
ec:4.3.1.17;SDHL,SDSL,SRR
ec:4.3.1.18;SRR
ec:4.3.1.19;SDHL,SDSL
ec:4.3.2.1;ARLY
ec:4.3.2.2;PUR8
ec:4.3.2.5;AMD
ec:4.4.1.1;CGL
ec:4.4.1.5;LGUL
ec:4.4.1.13;KAT1,KAT3
ec:4.4.1.16;SCLY
ec:4.4.1.17;CCHL
ec:4.4.1.20;LTC4S
ec:4.6.1.1;ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCYA
ec:4.6.1.2;ANPRA,ANPRB,GCYA2,GCYA3,GCYB1,GCYB2,GUC2C,GUC2D,GUC2F
ec:4.6.1.15;TKFC
ec:4.6.1.16;SEN2,SEN34
ec:4.6.1.17;MOCS1
ec:4.99.1.1;HEMH
ec:5.1.1.18;SRR
ec:5.1.3.1;RPEL1,RPE
ec:5.1.3.2;GALE
ec:5.1.3.3;GALM
ec:5.1.3.7;GALE
ec:5.1.3.8;RENBP
ec:5.1.3.17;GLCE
ec:5.1.3.19;DSE
ec:5.1.3.29;FUCM
ec:5.1.99.1;MCEE
ec:5.1.99.4;AMACR
ec:5.1.99.6;NNRE
ec:5.2.1.2;MAAI
ec:5.2.1.8;CWC27,FKB10,FKB11,FKB14,FKB1A,FKB1B,FKBP2,FKBP3,FKBP4,FKBP5,FKBP7,FKBP8,FKBP9,NKTR,PAL4A,PAL4C,PAL4D,PAL4E,PAL4F,PAL4G,PIN1,PIN4,PPIA,PPIB,PPIC,PPID,PPIE,PPIF,PPIG,PPIH,PPIL1,PPIL2,PPIL3,PPIL4,PPIL6,PPWD1,PTPA
ec:5.3.1.1;TPIS
ec:5.3.1.6;RPIA
ec:5.3.1.8;MPI
ec:5.3.1.9;G6PI
ec:5.3.1.22;HYI
ec:5.3.1.23;MTNA
ec:5.3.2.1;MIF
ec:5.3.3.1;3BHS1,3BHS2
ec:5.3.3.2;IDI1,IDI2
ec:5.3.3.5;EBP
ec:5.3.3.8;ECHP,ECI1,ECI2
ec:5.3.3.12;MIF,TYRP2
ec:5.3.4.1;PDIA1,PDIA2,PDIA3,PDIA4,PDIA5,PDIA6,TMX3
ec:5.3.99.2;HPGDS,PTGDS
ec:5.3.99.3;PGES2,PTGES,TEBP
ec:5.3.99.4;PTGIS
ec:5.3.99.5;THAS
ec:5.4.2.2;PGM1,PGM2
ec:5.4.2.3;AGM1
ec:5.4.2.4;PGAM1,PGAM2,PGAM4,PMGE
ec:5.4.2.7;PGM2
ec:5.4.2.8;PMM1,PMM2
ec:5.4.2.11;PGAM1,PGAM2,PGAM4,PMGE
ec:5.4.4.7;LOXE3
ec:5.4.99.2;MUTA
ec:5.4.99.7;ERG7
ec:5.4.99.12;TRUA
ec:5.4.99.45;PUS3
ec:5.5.1.4;INO1
ec:5.99.1.2;TOP1M,TOP1,TOP3A,TOP3B
ec:5.99.1.3;SPO11,TOP2A,TOP2B
ec:6.1.1.1;SYYC,SYYM
ec:6.1.1.2;SYWC,SYWM
ec:6.1.1.3;SYTC2,SYTC,SYTM
ec:6.1.1.4;SYLC,SYLM
ec:6.1.1.5;SYIC,SYIM
ec:6.1.1.6;SYK
ec:6.1.1.7;SYAC,SYAM
ec:6.1.1.9;SYVC,SYVM
ec:6.1.1.10;SYMC,SYMM
ec:6.1.1.11;SYSC,SYSM
ec:6.1.1.12;SYDC,SYDM
ec:6.1.1.14;SYG
ec:6.1.1.15;SYEP,SYPM
ec:6.1.1.16;SYCC,SYCM
ec:6.1.1.17;SYEM,SYEP
ec:6.1.1.18;SYQ
ec:6.1.1.19;SYRC,SYRM
ec:6.1.1.20;SYFA,SYFB,SYFM
ec:6.1.1.21;SYHC,SYHM
ec:6.1.1.22;SYNC,SYNM
ec:6.2.1.1;ACS2L,ACSA,ACSS3
ec:6.2.1.2;ACS2A,ACS2B,ACSM1,ACSM3,ACSM4,ACSM5,ACSM6
ec:6.2.1.3;ACBG1,ACBG2,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,S27A2
ec:6.2.1.4;SUCA,SUCB2
ec:6.2.1.5;SUCA,SUCB1
ec:6.2.1.7;S27A5
ec:6.2.1.16;AACS
ec:6.2.1.45;UBA1,UBA6
ec:6.3.1.2;GLNA
ec:6.3.1.14;DPH6
ec:6.3.1.17;RIMKB
ec:6.3.2.2;GSH1
ec:6.3.2.3;GSHB
ec:6.3.2.5;PPCS
ec:6.3.2.6;PUR6
ec:6.3.2.11;CRNS1
ec:6.3.2.17;FOLC
ec:6.3.2.25;TTL
ec:6.3.2.41;RIMKA,RIMKB
ec:6.3.2.42;RIMKA
ec:6.3.2.n3;TRI25
ec:6.3.3.1;PUR2
ec:6.3.3.2;MTHFS
ec:6.3.4.2;PYRG1,PYRG2
ec:6.3.4.3;C1TC,C1TM
ec:6.3.4.4;PURA1,PURA2
ec:6.3.4.5;ASSY
ec:6.3.4.9;BPL1
ec:6.3.4.10;BPL1
ec:6.3.4.11;BPL1
ec:6.3.4.13;PUR2
ec:6.3.4.14;ACACA,ACACB
ec:6.3.4.15;BPL1
ec:6.3.4.16;CPSM
ec:6.3.4.21;PNCB
ec:6.3.5.1;NADE
ec:6.3.5.2;GUAA
ec:6.3.5.3;PUR4
ec:6.3.5.4;ASNS
ec:6.3.5.5;PYR1
ec:6.3.5.7;GATA
ec:6.4.1.1;PYC
ec:6.4.1.2;ACACA,ACACB
ec:6.4.1.3;PCCA,PCCB
ec:6.4.1.4;MCCA,MCCB
ec:6.5.1.1;DNLI1,DNLI3,DNLI4
ec:6.5.1.3;RTCB
ec:6.5.1.4;RTCA
