tcdb:1.a.9.1.1;CHRNG
tcdb:9.a.14.3.5;ADRB2
tcdb:1.a.24.1.3;ADRB2
tcdb:9.a.14.1.2;RHO
tcdb:1.a.33.1.3;RHO
tcdb:1.a.31.1.2;RHO
tcdb:3.a.1.201.1;RHO
tcdb:8.a.9.2.2;SLC3A2
tcdb:9.b.130.1.4;SYP
tcdb:9.a.14.3.11;ADRB1
tcdb:1.a.31.1.7;ANXA5
tcdb:8.a.40.1.19;CD63
tcdb:2.a.28.1.8;SLC10A3
tcdb:3.a.5.9.1;SLC10A3
tcdb:2.a.7.28.4;SLC35G4
tcdb:2.a.7.28.6;SLC35G6
tcdb:;PIRT
tcdb:2.a.7.9.7;SLC35E2B
tcdb:1.a.50.3.1;MRLN
tcdb:3.d.4.11.1;MRLN
tcdb:3.d.4.11.1;MRLN
tcdb:2.a.1.1.28;MRLN
tcdb:2.a.1.1.29;MRLN
tcdb:2.a.1.1.91;SLC2A3
tcdb:8.a.25.1.2;EPB41
tcdb:1.a.9.1.1;CHRNB1
tcdb:9.a.16.1.1;LAMP1
tcdb:9.b.208.1.1;VDR
tcdb:8.a.66.1.2;DMD
tcdb:1.c.40.1.8;CETP
tcdb:1.a.37.1.1;CETP
tcdb:2.a.29.1.2;CETP
tcdb:2.a.29.1.10;SLC25A6
tcdb:1.i.1.1.3;TPR
tcdb:3.d.4.11.1;TPR
tcdb:8.a.58.1.1;IFITM1
tcdb:9.a.16.1.2;IFITM1
tcdb:5.b.1.1.1;CYBA
tcdb:3.a.1.202.1;CYBA
tcdb:3.a.3.1.1;ATP1A3
tcdb:1.c.39.3.3;C6
tcdb:2.a.21.3.1;C6
tcdb:3.a.18.1.1;C6
tcdb:1.c.39.2.8;PRF1
tcdb:3.d.4.11.1;PRF1
tcdb:9.a.14.3.10;DRD2
tcdb:1.i.1.1.3;CCNB1
tcdb:2.a.1.1.80;SLC2A4
tcdb:1.a.9.5.4;GABRA1
tcdb:9.b.92.1.1;GABRA1
tcdb:1.c.79.1.1;GABRA1
tcdb:3.d.4.11.1;GABRA1
tcdb:8.a.28.1.2;ANK1
tcdb:2.a.29.12.3;SLC25A16
tcdb:1.a.1.2.10;SLC25A16
tcdb:9.b.39.1.4;CD36
tcdb:1.c.40.1.1;CD36
tcdb:1.a.71.2.1;GAP43
tcdb:1.a.9.1.6;CHRNB2
tcdb:1.c.40.1.2;CHRNB2
tcdb:1.a.9.5.4;GABRG2
tcdb:1.a.11.4.3;GABRG2
tcdb:3.a.18.1.1;SON
tcdb:9.a.35.1.2;SDC1
tcdb:8.a.40.1.18;CD53
tcdb:2.a.36.1.13;SLC9A1
tcdb:1.i.1.1.3;MX2
tcdb:8.a.85.1.2;NPR2
tcdb:3.a.3.1.2;NPR2
tcdb:3.d.4.11.1;NPR2
tcdb:3.a.2.2.4;NPR2
tcdb:3.a.2.2.4;NPR2
tcdb:8.a.66.1.4;FLNA
tcdb:3.a.1.201.3;FLNA
tcdb:9.a.14.2.1;S1PR1
tcdb:9.a.14.2.2;CNR1
tcdb:1.f.1.1.1;SYT1
tcdb:1.a.3.1.2;SYT1
tcdb:8.a.40.1.9;CD9
tcdb:1.a.1.2.4;CD9
tcdb:1.a.1.2.4;CD9
tcdb:8.a.82.1.2;CALB2
tcdb:1.c.35.3.2;CALB2
tcdb:8.a.54.1.2;ITGA6
tcdb:8.a.81.1.1;S100A1
